ticker,float_M,os_M
RKTO,22.26,22.32
RLGT,35.56,46.83
RLH,,
RLMD,111.49,112.34
RLYB,3.34,5.3
RM,8.25,9.21
RMAX,15.83,21.23
RMCF,6.56,9.4
RMCO,12.52,15.15
RMIX,35.61,71.6
RMNI,56.43,92.56
RMO,168.08,185.91
RMR,14.57,17.09
RMSG,1.74,11.41
RMTI,38.82,39.47
RNAC,17.8,29.38
RNAZ,0.95,0.95
RNDB,4.7,5.2
RNGR,17.88,23.76
RNLX,86.65,94.55
RNTX,83.39,85.54
RNWK,33.38,47.7
RNXT,46.83,47.29
ROC,8.16,19.08
ROCC,,
ROI,32.55,32.67
ROLR,5.83,10.97
ROMA,53.49,59.56
ROOT,9.28,15.83
ROSE,,
RPGL,1.07143,1.10145
RPID,36.22158,51.27158
RPT,6.33,7.77
RPTX,28.79,42.99
RR,182.6,223.6
RRGB,15.43,18.5
RSI,98.28615,104.14615
RSSS,27.22,33.45
RTB,7.13,8.93
RTC,14.76,29.36
RUBI,7.77316,7.77316
RUBY,46.94,90.4
RUM,211.5,339.44
RVLP,46.84,99.54
RVP,13.05,29.94
RVPH,12.88,13.11
RVSN,2.13,2.19
RXST,34.65,41.4
RXT,82.72,249.22
RYAM,65.26,67.44
RYDE,79.24,169.73
RYET,3.59,33.59
RYM,1.45,2.15
RYOJ,2.54,11.55
RYTM,67.72,68.53
RZLT,78.85,96.29
RZLV,210.71,398.83
SABS,65.88,76.46
SACH,45.72,47.96
SAFX,180.58,359.22668
SAGT,5.44,19.65
SAIH,1.1,1.83
SAL,5.54,5.81
SALM,12.97,27.22
SAMG,6.17,11.85
SANA,190.02,299.9
SANG,25.77,33.28
SANW,1.05,2.15
SAR,14.69,16.27
SATL,84.17,143.24
SATX,34.58,85.67
SAUC,,
SB,53.91,102.26
SBBP,55.01,67.83
SBC,9.88,102.58
SBDS,1.66,2.56
SBET,197.13,197.16
SBEV,10.91,10.96
SBFG,5.93,6.28
SBFM,2.134,2.134
SBIG,48.79,48.79
SCAG,19.44,72.61
SCKT,5.66,8.24
SCLX,7,8.49
SCNI,8.91,8.91
SCNX,33.79,40.63
SCOR,9.32,15.09
SCPH,47.72,53.3
SCPS,10.27,21.09
SCPX,61.12,61.14
SCTL,101.43,105.69
SCU,54.46,62.37
SCWO,11.68,17.5
SCX,6.43,7.51
SCYX,10.9825,11.02
SDA,33.59,105.65
SDC,131.47,402.61
SDEV,170.65,194.65
SDHC,8.02,50.78
SDIG,16.37,17.24
SDM,7.42,26.5
SDOT,0.6525,0.67
SDPI,15.04,30.39
SDST,7.55,10.58
SEAC,1.66,2.58
SEAT,1.02,10.99
SECO,5.07,7.07
SEED,6.97,12.92
SEEL,0.57,0.58
SEER,48.08,54.98
SEG,7.49,12.8
SEGG,10.67,12.64
SEI,56.37,58.4
SELF,9.28,11.42
SELX,10.86,37.6
SENS,55.58,57.77
SER,16.66,17.33
SERA,35.64,39.16
SERV,65.67,77.37
SES,194.66,369.28
SEV,17.75,36.6
SEZL,17.07,33.63
SFBC,1.5,2.57
SFE,15.9,16.72
SFHG,1.22,4.06
SFIX,106.28,136.52
SFR,18.49,60.14
SFT,16.31,17
SFWL,40.12,82.5
SGA,5.07,6.36
SGB,,
SGC,13.92,15.63
SGE,1.75,7.92
SGHT,39.19,54.41
SGLY,4.29,7.29
SGMA,5.83,6.12
SGMO,390.84,414
SGMT,52.55,61.75
SGRP,12.3,25.13
SGTX,1.71,2.51
SGU,29.48,32.83
SHAZ,12.51,16.74
SHCR,312.39,371.88
SHFS,5.15,6.46
SHIM,15.8995,44.7195
SHIP,16.74,20.93
SHLT,13.61,16.39
SHMD,22.19,63.73
SHPH,10.56,10.61
SHPW,5.59,6.62
SHSP,,
SIDU,100.52504,100.54504
SIEB,14.55,40.94
SIEN,11.85,11.96
SIF,3.93,6.25
SIFY,11.54,72.22
SIGA,40.86,71.72
SILC,5.43,5.71
SILO,1.07133,1.08467
SING,79.81,79.81
SINT,4.32,6.20285
SIOX,55.22,73.98
SISI,0.45,0.91
SJ,15.95,42.66
SJT,34.5,46.61
SKBL,11.19,55.22
SKE,104.36,121.74
SKIL,5.12,8.96
SKIN,84.79,129.6
SKK,1.36342,2.44868
SKLZ,10.65,15.61
SKYA,67.1,67.1
SKYE,24.3,35.14
SKYH,21.3,34.48
SKYQ,3.99,4.79
SKYS,,
SKYT,24.37,49.2
SKYX,107.01,134.48
SLAI,17.82,18.68
SLCT,14.97,17.23
SLDB,127.72,132.46
SLDP,182.99,224.98
SLE,1.47,1.5
SLGB,3,43
SLGL,2.77,3.27
SLHG,29.6,39.45
SLI,227.09,239.71
SLMT,10.548,10.688
SLN,32.16,47.23
SLNA,314.35,543.67
SLND,14.44,54.22
SLNG,5.2,18.6
SLNH,157.46,157.75
SLNO,46.04,53.71
SLQT,154.32,176.35
SLS,185.4,186.03
SLSN,18.35,70.63
SLXN,0.85,0.85
SMED,16.87,19.43
SMFL,7.09,7.09
SMHI,23.35,27.06
SMID,2.76,5.31
SMIT,3.274,3.87
SMJF,2.71,27.71
SMLP,9.84,10.65
SMLR,12.94,15.16
SMMT,123.05,776.16
SMRT,177.62,192.84
SMSI,18.87,25.43
SMTI,4.07,9.16
SMTK,19.27,21.45
SMTX,,
SMX,0.6477,0.65646
SMXT,41.89,56.91
SNAL,14.54,43.67
SNAX,5.82,7.35
SNBR,19.52,23.05
SNCE,3.32,5.97
SNCR,8.75,11.51
SND,30.83,42.99
SNDA,33.71,47.35
SNDL,260.17,260.17
SNES,5.3,5.3
SNGX,17.26,17.26
SNMP,2.06,8.43
SNOA,4.67296,4.69296
SNSE,0.91,1.34
SNT,13.48,23.33
SNTG,1.06,2.81
SNTI,17.94,31.14
SNYR,8.51,14.9
SOAR,30.33,30.9
SOBR,1.89,2.81
SOC,121.83,154.36
SOFO,8.27,12.14
SOGP,2.9,4.17
SOHO,13.52,20.49
SOHU,14.45,26.06
SOL,32.42,51.3
SOLO,110.2,119.5
SOND,11.26,13.31
SONM,1.3,1.49
SONX,0.41,0.43
SOPA,12.49182,12.99
SOPH,68.67,71.79
SORA,4.86,24.86
SORL,,
SOS,14.56,16.17
SOTK,8.45,15.71
SOUN,388.11,432.77
SOWG,14.42,20.12
SPAI,7.39,20.62
SPCB,5.33,5.37
SPCE,98.92,100.68
SPEC,8.08,18.55
SPHL,1.24,12.26
SPHS,,
SPI,25.48,31.6
SPIR,21.47,40.22
SPNE,35.58,37.2
SPOK,18.85,20.89
SPPI,202.83,205.26
SPPL,6.2,9.79
SPRB,2.72,2.75
SPRC,0.57,0.57
SPRO,45.34,57.9
SPRU,13.98,18.56
SPRY,70.78,99.3
SPWH,36.55,39.02
SPWR,112.21,146.3
SPWR_delisted_867773,,
SQFT,1.22,1.44
SQNS,15.44,16.47
SQZ,25.58,29.49
SRAX,25.16,29.44
SREV,99,99.94
SRFM,94.57,100.4
SRG,31.14,56.32
SRGA,8.82,9.18
SRI,27.43,28.24
SRL,7.95,15.23
SRLP,4.71,26.24
SRNE,546.78,551.28
SRRA,19.13,24.42
SRRK,108.31,119.83
SRT,16.2,40.3
SRTA,81.65,86.53
SRTS,13.28,16.46
SRXH,581.74,590.25
SRZN,10.35,11.61
SSII,39.15,200.13
SSKN,4.18,5.89
SSM,1.02,1.42
SSP,87.76,91.31
SST,2.6,9.94
SSTI,12.03,12.95
SSY,5.21,7.04
STAB,31.499,54.66
STAF,1.49,1.53
STAI,3.25,4.66
STAK,10.01,19.21
STBX,0.59,0.6
STCN,2.14,6.34
STEM,8.5,8.96
STEX,67.98,178.52
STFS,1.12,1.19
STG,4.08,13.93
STHO,11.6,12.09
STI,2.54,7.75
STIM,36.73,69.59
STIX,16.52,80.38
STKH,2.42285,2.42285
STKS,20.07,31.56
STND,,
STOK,51.87,62.28
STON,28.55,118.75
STRM,3.37,4.36
STRO,16.51,16.57
STRR,2.83,3.7
STRS,4.99,7.98
STRT,3.84,4.18
STRW,8.21,13.43
STRY,93.37,167.11
STRZ,12.54,16.7
STSA,26.58,33.15
STTK,58.46,76.68
STXS,62.46,97.74
SUGP,3.5,4.46
SUIG,77.99,89.09
SUMR,1.34,2.17
SUNE,4.12,4.12
SUNL,2.574,6.54
SUNW,56.7,56.78
SUP,33.98,37.3
SUPX,34.41,43.24
SURF,41.18,60.82
SURG,19.02,25.12
SVBI,10.08,12.86
SVCO,12.71,32.68
SVM,187.85,220.86
SVMH,5.19,10.96
SVRA,201.26,204.93
SVRE,1.1,1.25
SVRN,1.439,1.72
SVT,1.29,2.56
SWAG,9.14,18.77
SWIM,56.12,117.41
SWKH,3.46,12.1
SWMR,3,12.35
SWVL,5.63,9.96
SXTC,34.71,38.22
SXTP,2.64,2.66
SY,75.18,100.22
SYBX,5.14,11.7
SYNC,,
SYNX,2.49,6.63
SYPR,8.18,23.01
SYRA,7.47,17.3
SYRE,91.9,99.2
SYRS,24.15,26.83
SYT,4.83,26.09
TACT,7.01,10.28
TAIT,3.14,6.02
TALK,137.24,167.51
TANH,9.59,13.77
TAOP,1.65,9.55
TAOX,7.31,7.47
TARA,55.23,56.2
TARS,42.02,43.02
TAT,,
TATT,10.08,12.98
TAYD,3.13,3.22
TBCH,19.85,19.85
TBH,2.3775,3.00875
TBHC,12.98,22.46
TBI,28.88,30.4
TBIO,0.53,1.78
TBLA,102.64,273.32
TBLT,1.32,1.44
TBRG,10.56,14.91
TC,0.44,21.99
TCBP,0.51,0.51
TCBS,2.26,2.89
TCCO,1,1.85
TCGL,3.57,20.05
TCMD,21.99,22.56
TCON,3.38,3.41
TCRR,24.18,39.26
TCRT,1.93,2.42
TCRX,55.59,61.07
TCS,1.99,3.45
TCX,8.28,11.15
TDAY,139.46,146.7
TDIC,23.15,27.6
TDTH,1.69,3.84
TDUP,92.16,129.04
TE,170.79,279.27
TEAD,84.38,95.98
TECX,8.05,18.87
TELA,50.5,51.33
TELL,875.05,893.76
TELO,21.34,68.77
TENX,26.02,26.53
TERN,115.26,115.41
TESS,7.07,9.23
TFFP,3.29,4.44
TG,21.62,35.02
TGA,65.09,72.54
TGAN,61.83,63.27
TGB,361.63,365.63
TGE,13.79,54.8
TGEN,16.17,29.92
TGHL,12.72,25.3
TGL,1.66,1.98928
THCH,10.28,33.24
THH,28.87,50.05
THM,179.42,261.64
THMO,3.51,15.85
THRD,31.25,45.13
THRN,14.92,53.92
THRX,24.79,44.23
THTX,45.89,45.98
TIG,18.13,51.24
TIGR,129.66,189.7
TIL,3.53,6.78
TIO,236.32,241.95
TIRX,78.62,99.17
TISI,2.33,4.57
TJGC,6.35,10.1
TKLF,1.62,4.23
TKNO,11,53.61
TLF,3.11,8.14
TLGT,91.82,92.82
TLIH,0.569,2.94
TLIS,1.01,1.82
TLMD,61.23,101.34
TLPH,46.64,53.65
TLRY,115.65,116.55
TLS,57.02,78.37
TLSA,105.54,125.22
TLSI,44.01,61.42
TLYS,9.4,30.47
TMBR,3.07,3.09
TMC,273.11,433.19
TMCI,47.93,64.87
TMCR,13.5,55.06
TMDE,3.57,23.57
TMDI,111.16,111.2
TMPO,15.88,30.75
TMQ,130.47,175.55
TNGX,145.89,147.64
TNMG,2.05,2.56
TNON,9.26,11.57
TNXP,15.94,15.94
TNYA,193.25,217
TOI,86.24,99.98
TOMZ,16.51,23.1
TONX,54.75,56.53
TOON,61.89,67.06
TOP,7.02,251.48
TOPP,6.5,24.7
TOPS,4.25,7.47
TORO,19.24,28.85
TOUR,3.533,10.921
TOVX,56.09,56.1
TOYO,5.04,46.6
TPB,18.06,19.37
TPC,40.01,52.61
TPCS,9.13,10.01
TPET,41.06,41.42
TPHS,36.05,66.25
TPIC,47.48,48.73
TPST,15.97241,15.98241
TRAK,11.2,18.17
TRAW,14.11,15.15
TRC,25.88,27
TRDA,34.31,38.82
TREE,11.37,13.95
TRHC,25.73,27.05
TRIB,14.4,20.25
TRIL,102.67,105
TRKA,15.77,16.73
TRML,23.55,25.69
TRMT,6.53,8.25
TRNR,2.33,2.33
TRNX,,
TRON,47.86,474.38
TROO,55.42,122.16
TRSG,7.05,16.35
TRT,7.75,10.11
TRUE,52.79,88.94
TRUG,1.08,1.11
TRVG,13.5,70.62
TRVI,125.47,141.98
TRVN,0.86,0.86
TRX,281.64,287
TSAT,12.12,14.98
TSBX,15.57,23.14
TSE,27.23,36.56
TSHA,269.16,297.99
TSQ,14.77,17.95
TSRI,1.42,2.17
TSSI,23.64,28.07
TSVT,48.85,53.23
TTEC,20.52,48.66
TTI,139.29081,146.20081
TTOO,15.34,28.05
TTPH,,
TTRX,10.91,29.79
TTSH,16.69,44.72
TUEM,3.99333,5.87
TUFN,33.23,37.85
TULP,1.63,4.77
TUP,43.02,46.53
TURB,4.1,12.58
TUSK,24.05,48.17
TVGN,1.12,4.19
TVRD,3.91,9.38
TWAV,3.43,3.46
TWG,11.73,22.75
TWIN,9.73,14.42
TWNP,5.52,57.33
TWOU,2.73,2.86
TXMD,8.44,11.57
TYGO,46.47,75.91
TYME,119.99,172.21
TYRA,52.13,59.47
TZOO,5.76,10.28
UAMY,145.44,148.19
UAVS,55.33,58.6
UBCP,5.29,5.78
UBOH,3.03,3.24
UBX,16.92,17.21
UBXG,1.52827,1.81787
UCAR,7.14,25.74
UCFI,2,51.66
UCL,22.14,38.06
UEC,483.01,490.22
UEIC,9.7,12.63
UFAB,9.78,11.73
UFG,9.82,32.47
UFI,15.13,18.59
UG,2.92,4.59
UGRO,1.31,1.32
UHG,11.52,58.83
UK,0.665,0.678
ULBI,9.92,16.66
ULY,2.12,2.18
UMAC,45.49,47.79
UNAM,2.94,5.3
UNB,4.56,4.61
UNCY,26.04,26.7
UOKA,1.22,1.23
UONE,0.26,4.52
UP,5.55,36.23
UPC,0.56,0.648
UPH,11.72,18.93
UPLD,24.22,29.36
UPXI,57.8,70.26
URG,392.95,397.33
URGN,49.38,50.34
UROY,128.07,157.57901
USAK,8.22,9.03
USAP,8.17,9.31
USAR,196.48,223.04
USAS,293.8,324.51
USAU,12.97,16.5
USBC,29.68,388.14
USDP,14.81,33.77
USEA,7.94,9.54
USEG,32.84,53.07
USGO,3.51,13.35
USIO,17.58,27.6
USWS,11.11,12.83
USX,33.04,52.58
UTI,53.17,55.06
UTMD,2.95,3.18
UTRS,1.05,8.88
UTSI,3.14,9.19
UUU,2.15,3.03
UVE,23.5,27.91
UWMC,80.97,1601.09
UXIN,5.35,231.16
UZX,9.5,16.49
VANI,41.68,87.82
VAPO,5.74,6.24
VATE,5.23,13.64
VAXX,54.55,126.75
VBFC,0.62,1.5
VBIO,2.86,2.88
VBIV,27.58,28.68
VCIG,2.85,5.54414
VCNX,1.63,2.68
VCSA,9.95,22.2
VECT,64.33,67.39
VEEA,37.12,50.41
VEEE,0.52,0.53
VELO,20.57,29.8
VENU,52.42,63.85
VERA,62.06,71.78
VERI,88.56,92.96
VERO,1.74,1.86
VERU,14.59,16.05
VERY,14.88,14.88
VEV,45.88,50.48
VFF,102.58,114.29
VFS,38.81,2338.81
VGAS,25.83,44.55
VGFC,123.67,151
VGZ,141.23,145.97
VHAI,9784.2,10942.82
VHC,3.62,4.19
VHI,2.4,28.3
VHUB,25.52,85.06
VIAO,7.65,22.65
VIDA,4.522,13.854
VIEW,1.64,4.07
VIGL,31.32,47.7
VINC,4.83,5.23
VINO,0.57,0.95
VIOT,33.76,68.05
VIRC,13.2,15.73
VIRX,38.68,39.74
VISL,2.11,2.47
VITL,34.48,42.85
VIVE,10.72,10.72
VIVK,3.9,4.3
VIVO,15.74,16.79
VIVS,5.21158,5.24158
VJET,8.04,9.13
VKTX,113.09,116.11
VLDR,271.59,271.88
VLN,45.21,105.05
VLNS,69.12,80.2
VLRXQ,,
VLTA,131.51,175.79
VMAR,1.56,1.56
VMD,30.07,38.34
VNCE,3.61,12.85
VNDA,58.09,60.14
VNET,107.66,373.76
VNRX,6.64,8.33
VNTG,11.37,31.74
VNTR,55.05,108
VOC,8.19,17
VOLT,20.5,22.1
VOR,54.04,54.19
VORB,16.61,337.01
VOXR,56.69,68.9
VOXX,10.31,22.53
VPG,11.35,13.3
VQS,40.45,40.45
VRA,24.57,27.97
VRAX,19.4,19.92
VRCA,16.83,21.3
VRDN,110.39294,110.42294
VRM,1.2,5.21
VRME,11.28,13.12
VRNA,81.92,86.19
VRPX,1.77,1.8
VS,1.74,4.9
VSA,1.054,1.134
VSEE,29.72,48.6
VSME,2.61,2.75
VSTA,5.41,80.2
VSTD,11.59,15.86771
VSTE,13.6,29.97
VSTM,83.98,87.87
VTAK,2.29,2.69
VTGN,39.56,39.62
VTIX,20.38,34.21
VTNR,85.82,93.51
VTRU,24.5,33.83
VTSI,10.99,11.31
VTVT,1.75,3.94
VTYX,54.3,71.36
VUZI,78.12,83.16
VVOS,11.21,13.89
VWAV,14.12,25.39
VWE,23.19,62.81
VWTR,16.14,18.31
VXRT,240.28,241.97
VYGR,51.45,60.42
VYNE,33.03,33.35
VYNT,5.8,6.27
VZLA,339.94,349.43
WAFU,1.44,4.41
WAI,2.35,2.36
WALD,36.31,128.26
WATT,5.49,5.5
WAVE,2.89,5.84
WBEV,9.88,13.3
WBUY,4.81,5.48
WBX,9.29,17.13
WCT,2.71,3.07
WDH,121.34,360.88
WE,12.625,53.26
WEAV,59.95,79.57
WEBK,,
WEBR,28.06,288.21
WEJO,72.01,108.59
WETH,11.92,11.93
WETO,65.7,82
WEYS,5.97,9.53
WFCF,1.72,5.04
WFF,3.44,5.04
WGRX,1.3472,2.5134
WGS,15.15,29.69
WHG,8.19,9.49
WHLM,1.34,4.92
WHLR,1.8,1.8
WHWK,37.04,71.77189
WILC,4.08,13.91
WIMI,16.37,18.39
WINT,33.71,33.71
WKEY,5.02,9.82
WKHS,4.26,10.89
WKSP,16.47,16.79
WLDN,14.18,15.11
WLDS,6.55,6.55
WLFC,3.75,7.95
WLGS,0.65,0.7
WLMS,14.35,27.21
WMC,5.36,6.05
WNW,0.47,25.61
WOK,1.22,1.22
WOLF,19.6,51.51
WORX,1.06,1.07
WOW,44.37,85.7
WPRT,15.37,17.4
WRAP,38.61,55.74
WRD,308.84,363.65
WRN,203.33,226
WRNT,6.13,23
WSHP,0.61,10.96
WSTL,,
WTER,10.52,10.9
WTF,5.03,48.24
WTO,1.78,52.69
WTT,17.04,21.37
WULF,400.96,495.53
WVE,159.67,192.38
WVFC,1.38,1.88
WVVI,4.57,4.98
WW,0.9,10
WWR,124.79,127.13
WXM,0.333,1.04596
WYFI,11.49,38.61
WYHG,0.59,12.5825
WYY,8.35,9.89
XAGE,1.63,2.48
XAIR,12.78,13.19
XBIO,2.06,2.29
XBIT,19.79,30.49
XBP,8.57,11.77
XCH,54.01,72.54
XCUR,2.19,6.37
XELA,27.74,27.75
XELB,4.6,6.05
XERS,165.52,172.64
XFOR,94.26,94.32
XGN,12.24,24.16
XHG,1.57,51.55
XHLD,2.06,4.48
XIN,4.31,8.51
XLO,8.69,10.17
XMAX,47.89,63.6
XNDU,3.55,298.51
XNET,32.37,62.96
XOMA,8.8,12.54
XONE,17.29,22.4
XOS,9.69091,13.21091
XPL,85.7,93.07
XPON,11.13,11.44
XRTX,3.72,4.05
XTIA,34.49,50.65
XTKG,1.81467,2.07
XTLB,1.91,2.2
XTNT,53.16,140.26
XWEL,7.9,8.44
XXI,346.81,346.81
XXII,4.46,4.46
XYF,13.08,39.02
XYLO,0.81,0.81
YAAS,13.51,13.85
YCBD,10.48,10.5
YDDL,22.02,56.03
YDES,2.88,70.79
YDKG,5.41,5.53
YELL,12.66,52.13
YGF,11.15,32
YGMZ,62.6,62.64
YGYI,,
YHC,20.67,21.37
YHGJ,0.84,2.61
YI,3.56,8.79
YIBO,23.97,59.23
YJ,1.06,4.93
YMAB,33.31,45.44
YMAT,10.9,19
YMT,1.21667,8.53933
YOOV,55.583,226.985
YOUL,69.3,81.02
YQ,7.5,10.84
YRD,15.63,87.34
YSG,23.39,93.85
YSXT,13.42,27.44
YTEN,0.53,0.66
YTRA,29.46,63.93
YUMAQ,,
YVR,3.559,3.96
YXT,16.48,59.49
YYAI,0.941,1.0525
YYGH,5.71,6.36
ZAGG,,
ZAPP,6.56,7.87
ZBAO,11.29,34.06
ZBIO,31.97,63.13
ZCAR,6.93,7.15
ZCMD,79.6,80.31
ZDAI,4.46438,8.04
ZDGE,10.3,13.04
ZENA,77.34,93.71
ZENV,11.51,52.26
ZEO,29.48,58.02
ZEPP,4.44,14.68
ZEUS,9.67,11.2
ZEV,4.6,6.59
ZFOX,110.6,124.84
ZH,44.64,88.15
ZIVO,2.27,3.89
ZJK,13.43,63.82
ZJYL,1.891,7.83
ZKIN,17.27,57.31
ZNB,2.1,2.1
ZNTL,68.3,71.19
ZOM,962.75,980
ZONE,215.28,221.94
ZOOZ,7.84,8.1
ZPTA,178.33,187.33
ZSAN,4.82,
ZSPC,4.03,4.8
ZSQR,9.43,51.43
ZSTK,1.24,25.73
ZTEK,105.54,125.37
ZTG,3.46,11.58
ZUMZ,13.32,17.28
ZURA,84.82,95
ZVIA,30.37,76.98
ZVO,32.72,34.22
ZVRA,58.7,59.12
ZVSA,8.09,8.1
ZY,65.43,104.1
ZYBT,4.43,47.39
ZYME,72.89,73.02
ZYNE,53.34,53.94
ZYXI,15.56,30.39